Amplitude ( ADC Kanal) -  (Histogram)	Counts -  (Histogram)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	4
14	12
15	22
16	45
17	82
18	103
19	112
20	115
21	104
22	77
23	69
24	78
25	111
26	157
27	213
28	272
29	326
30	342
31	331
32	316
33	289
34	257
35	253
36	248
37	236
38	217
39	200
40	166
41	143
42	119
43	104
44	88
45	83
46	80
47	78
48	74
49	71
50	66
51	66
52	67
53	75
54	78
55	89
56	95
57	103
58	108
59	117
60	117
61	123
62	126
63	123
64	123
65	120
66	114
67	116
68	121
69	121
70	127
71	133
72	133
73	130
74	130
75	131
76	129
77	128
78	121
79	117
80	107
81	104
82	94
83	95
84	93
85	92
86	90
87	92
88	91
89	88
90	89
91	90
92	91
93	93
94	93
95	101
96	100
97	101
98	103
99	100
100	94
101	91
102	91
103	91
104	97
105	101
106	104
107	107
108	108
109	108
110	113
111	117
112	121
113	127
114	131
115	131
116	132
117	128
118	126
119	122
120	122
121	119
122	120
123	127
124	133
125	133
126	140
127	141
128	136
129	136
130	136
131	134
132	132
133	133
134	132
135	142
136	143
137	149
138	155
139	168
140	167
141	178
142	189
143	207
144	217
145	240
146	259
147	275
148	281
149	295
150	305
151	319
152	326
153	332
154	322
155	310
156	291
157	272
158	264
159	259
160	238
161	229
162	224
163	211
164	196
165	195
166	183
167	175
168	164
169	156
170	148
171	145
172	141
173	136
174	137
175	137
176	137
177	135
178	141
179	141
180	141
181	136
182	134
183	129
184	123
185	122
186	120
187	122
188	124
189	127
190	128
191	126
192	118
193	113
194	109
195	107
196	108
197	110
198	111
199	111
200	108
201	105
202	108
203	106
204	102
205	100
206	98
207	93
208	88
209	88
210	91
211	91
212	95
213	100
214	101
215	102
216	104
217	101
218	102
219	105
220	107
221	104
222	105
223	102
224	98
225	94
226	98
227	100
228	100
229	98
230	99
231	102
232	96
233	97
234	98
235	94
236	86
237	89
238	89
239	89
240	92
241	91
242	89
243	89
244	89
245	90
246	91
247	92
248	92
249	89
250	84
251	89
252	90
253	88
254	90
255	93
256	89
257	86
258	85
259	88
260	85
261	82
262	83
263	85
264	84
265	88
266	88
267	85
268	83
269	80
270	79
271	80
272	80
273	76
274	73
275	67
276	69
277	69
278	74
279	77
280	81
281	79
282	82
283	81
284	81
285	81
286	85
287	85
288	88
289	91
290	92
291	93
292	92
293	90
294	92
295	95
296	95
297	99
298	102
299	103
300	103
301	106
302	107
303	109
304	108
305	105
306	98
307	97
308	98
309	97
310	100
311	102
312	99
313	97
314	100
315	97
316	98
317	103
318	107
319	110
320	119
321	123
322	126
323	128
324	128
325	131
326	134
327	134
328	142
329	147
330	149
331	149
332	156
333	155
334	157
335	158
336	162
337	164
338	169
339	173
340	183
341	192
342	201
343	205
344	202
345	199
346	197
347	195
348	194
349	197
350	198
351	203
352	207
353	206
354	212
355	206
356	200
357	197
358	190
359	180
360	182
361	172
362	164
363	159
364	149
365	138
366	136
367	129
368	122
369	126
370	125
371	115
372	107
373	101
374	90
375	82
376	81
377	79
378	72
379	68
380	63
381	57
382	53
383	50
384	48
385	46
386	43
387	40
388	38
389	35
390	34
391	33
392	32
393	32
394	31
395	30
396	27
397	26
398	24
399	24
400	22
401	22
402	22
403	23
404	22
405	23
406	21
407	20
408	21
409	21
410	17
411	18
412	17
413	16
414	14
415	15
416	14
417	15
418	13
419	12
420	11
421	11
422	12
423	11
424	12
425	12
426	12
427	11
428	13
429	12
430	12
431	12
432	12
433	12
434	13
435	14
436	14
437	15
438	16
439	16
440	16
441	17
442	17
443	17
444	16
445	18
446	17
447	16
448	18
449	19
450	20
451	21
452	23
453	22
454	26
455	26
456	30
457	33
458	37
459	40
460	41
461	43
462	47
463	50
464	52
465	59
466	64
467	68
468	77
469	81
470	86
471	92
472	105
473	107
474	118
475	128
476	136
477	144
478	156
479	165
480	178
481	189
482	195
483	205
484	210
485	216
486	229
487	237
488	245
489	255
490	263
491	263
492	276
493	292
494	310
495	323
496	334
497	337
498	334
499	327
500	322
501	330
502	326
503	325
504	332
505	332
506	324
507	325
508	331
509	326
510	326
511	324
512	314
513	300
514	290
515	276
516	260
517	256
518	248
519	233
520	220
521	211
522	196
523	184
524	177
